Place,District,Month,Season,Weekend,Weather,Visitor_Count_Level,Visitor_Type,Foreign_Tourists,Kids_Visitors,Senior_Citizens,Business_Activity
Shani Shingnapur,Ahmednagar,January,Winter,No,Cool,Medium,Solo Travelers,No,High,High,Medium
Ellora Caves,Aurangabad,January,Winter,Yes,Pleasant,High,Students,Yes,Medium,High,Medium
Kaas Plateau,Satara,May,Summer,Yes,Hot,Medium,Foreign Tourists,No,High,Low,High
Daulatabad Fort,Aurangabad,July,Monsoon,Yes,Rainy,Medium,Couples,Yes,Medium,Low,High
Matheran,Raigad,May,Summer,No,Hot,Low,Students,No,Medium,High,High
Khandala,Pune,May,Summer,No,Warm,Low,Families,No,Medium,Low,Low
Gateway of India,Mumbai,September,Monsoon,Yes,Rainy,Medium,Foreign Tourists,No,Medium,Low,High
Sindhudurg Fort,Sindhudurg,January,Winter,No,Pleasant,Medium,Students,No,Medium,Low,Medium
Trimbakeshwar Temple,Nashik,April,Summer,No,Hot,Low,Solo Travelers,No,Medium,High,Medium
Daulatabad Fort,Aurangabad,January,Winter,Yes,Pleasant,High,Couples,No,Medium,Low,Low
Pratapgad Fort,Satara,September,Monsoon,No,Humid,Low,Foreign Tourists,No,Low,High,High
Shirdi,Ahmednagar,July,Monsoon,Yes,Rainy,Medium,Solo Travelers,No,Medium,High,High
Shirdi,Ahmednagar,November,Post-Monsoon,Yes,Pleasant,High,Solo Travelers,No,Medium,High,Medium
Bhimashankar Temple,Pune,January,Winter,Yes,Cool,High,Students,No,Medium,High,Low
Daulatabad Fort,Aurangabad,February,Winter,No,Cool,Medium,Foreign Tourists,Yes,Low,Low,Low
Tarkarli Beach,Sindhudurg,July,Monsoon,Yes,Humid,Medium,Foreign Tourists,No,Medium,Low,Medium
Aga Khan Palace,Pune,August,Monsoon,Yes,Rainy,Medium,Families,No,High,Low,High
Ellora Caves,Aurangabad,April,Summer,Yes,Warm,Medium,Students,Yes,High,High,Low
Trimbakeshwar Temple,Nashik,December,Winter,No,Pleasant,Medium,Couples,Yes,Low,High,Medium
Pratapgad Fort,Satara,December,Winter,Yes,Cool,High,Students,No,Medium,Medium,High
Raigad Fort,Raigad,September,Monsoon,No,Humid,High,Solo Travelers,No,Low,Low,High
Ellora Caves,Aurangabad,November,Post-Monsoon,Yes,Clear,High,Couples,Yes,Medium,Low,High
Khandala,Pune,January,Winter,Yes,Pleasant,High,Foreign Tourists,No,Medium,Low,Medium
Matheran,Raigad,November,Post-Monsoon,No,Pleasant,Medium,Foreign Tourists,No,Low,Low,High
Ellora Caves,Aurangabad,October,Post-Monsoon,No,Pleasant,Medium,Students,Yes,Low,Low,High
